Rank,Player,Team,Salary,Score,Value
153,Matt Crouch,Crows,"$876,000",74,8.4
153,Tim Kelly,Eagles,"$745,000",74,9.9
153,Marc Pittonet,Blues,"$580,000",74,12.8
157,Zac Fisher,Kangaroos,"$695,000",73,10.5
157,Noah Answerth,Lions,"$364,000",73,20.1
157,Ryan Byrnes,Saints,"$564,000",73,12.9
157,Connor Rozee,Power,"$878,000",73,8.3
157,Kysaiah Pickett,Demons,"$546,000",73,13.4
157,Jamie Elliott,Magpies,"$545,000",73,13.4
157,Joshua Weddle,Hawks,"$522,000",73,14
157,Jayden Hunt,Eagles,"$582,000",73,12.5
157,Jack Hutchinson,Eagles,"$323,000",73,22.6
157,Sam Berry,Crows,"$586,000",73,12.5
167,Finn Maginness,Hawks,"$404,000",72,17.8
167,Ben Keays,Crows,"$747,000",72,9.6
167,Willem Drew,Power,"$773,000",72,9.3
167,Jesse Hogan,Giants,"$734,000",72,9.8
167,Alex Sexton,Suns,"$564,000",72,12.8
167,Luke Nankervis,Crows,"$532,000",72,13.5
173,Jye Caldwell,Bombers,"$829,000",71,8.6
173,Heath Chapman,Dockers,"$542,000",71,13.1
173,James Worpel,Hawks,"$677,000",71,10.5
173,Jason Horne-Francis,Power,"$809,000",71,8.8
177,Connor Budarick,Suns,"$524,000",70,13.4
177,Jack Buckley,Giants,"$496,000",70,14.1
177,Sam Taylor,Giants,"$412,000",70,17
177,Taylor Adams,Swans,"$536,000",70,13.1
181,Jaxon Binns,Blues,"$263,000",69,26.2
181,Archie Perkins,Bombers,"$427,000",69,16.2
181,Will Phillips,Kangaroos,"$562,000",69,12.3
181,Ryan Lester,Lions,"$550,000",69,12.5
181,Jack Henry,Cats,"$552,000",69,12.5
186,Jarman Impey,Hawks,"$649,000",68,10.5
186,Elliot Yeo,Eagles,"$793,000",68,8.6
186,Hayden McLean,Swans,"$570,000",68,11.9
186,Jarrod Berry,Lions,"$650,000",68,10.5
186,Liam Baker,Tigers,"$611,000",68,11.1
191,Miles Bergman,Power,"$668,000",67,10
191,Sam Clohesy,Suns,"$523,000",67,12.8
193,Lachlan Sholl,Crows,"$770,000",66,8.6
193,Charlie Cameron,Lions,"$488,000",66,13.5
193,Jake Kelly,Bombers,"$496,000",66,13.3
193,Jamie Cripps,Eagles,"$596,000",66,11.1
193,Shai Bolton,Tigers,"$529,000",66,12.5
193,Toby McMullin,Giants,"$366,000",66,18
193,Adam Saad,Blues,"$604,000",66,10.9
200,Tom Cole,Eagles,"$581,000",65,11.2
200,Jack Crisp,Magpies,"$648,000",65,10
200,Zak Jones,Saints,"$577,000",65,11.3
200,Hayden Young,Dockers,"$732,000",65,8.9
200,Paddy Dow,Saints,"$529,000",65,12.3
200,Zac Taylor,Crows,"$349,000",65,18.6
206,Luke Jackson,Dockers,"$600,000",64,10.7
206,Jackson Mead,Power,"$539,000",64,11.9
206,Joe Richards,Magpies,"$361,000",64,17.7
206,Bradley Hill,Saints,"$533,000",64,12
206,Cooper Sharman,Saints,"$519,000",64,12.3
211,Jacob Weitering,Blues,"$530,000",63,11.9
211,Joe Daniher,Lions,"$634,000",63,9.9
211,Zac Bailey,Lions,"$582,000",63,10.8
211,Tyson Stengle,Cats,"$530,000",63,11.9
215,Tim Membrey,Saints,"$618,000",62,10
216,Adam Tomlinson,Demons,"$475,000",61,12.8
216,Matthew Kennedy,Blues,"$717,000",61,8.5
216,Jack Higgins,Saints,"$477,000",61,12.8
216,Jack Ross,Tigers,"$590,000",61,10.3
216,Brayden Maynard,Magpies,"$517,000",61,11.8
216,Cameron Rayner,Lions,"$615,000",61,9.9
216,Sam Darcy,Bulldogs,"$682,000",61,8.9
216,Callan Ward,Giants,"$601,000",61,10.1
216,Jack Darling,Eagles,"$480,000",61,12.7
216,Jake Kolodjashnij,Cats,"$525,000",61,11.6
226,Taylor Duryea,Bulldogs,"$532,000",60,11.3
226,Harris Andrews,Lions,"$511,000",60,11.7
228,Lewis Young,Blues,"$467,000",59,12.6
228,Travis Boak,Power,"$655,000",59,9
230,Jamarra Ugle-Hagan,Bulldogs,"$588,000",58,9.9
230,Ed Langdon,Demons,"$747,000",58,7.8
230,Alex Cincotta,Blues,"$349,000",58,16.6
230,Harry Morrison,Hawks,"$491,000",58,11.8
230,Dylan Shiel,Bombers,"$676,000",58,8.6
230,Jack Petruccelle,Eagles,"$353,000",58,16.4
230,James Jordon,Swans,"$445,000",58,13
230,Joel Freijah,Bulldogs,"$528,000",58,11
230,Koltyn Tholstrup,Demons,"$447,000",58,13
239,Tyrell Dewar,Eagles,"$275,000",57,20.7
239,Harry Perryman,Giants,"$615,000",57,9.3
241,Connor Idun,Giants,"$644,000",56,8.7
241,Wil Powell,Suns,"$622,000",56,9
241,Logan Morris Injured,Lions,"$376,000",56,14.9
241,Braeden Campbell,Swans,"$487,000",56,11.5
245,Jake Melksham,Demons,"$349,000",55,15.8
245,Nicholas Holman,Suns,"$471,000",55,11.7
245,Lachlan Keeffe,Giants,"$352,000",55,15.6
245,Nathan Fyfe,Dockers,"$426,000",55,12.9
245,Conor McKenna,Lions,"$462,000",55,11.9
245,Mitch Georgiades,Power,"$612,000",55,9
245,Ryan Maric,Eagles,"$406,000",55,13.5
245,Jeremy Howe,Magpies,"$589,000",55,9.3
245,Aaron Francis,Swans,"$412,000",55,13.3
254,Clay Hall,Eagles,"$218,000",54,24.8
254,Jimmy Webster,Saints,"$498,000",54,10.8
254,Jack Scrimshaw,Hawks,"$602,000",54,9
254,Luke McDonald,Kangaroos,"$534,000",54,10.1
254,Josh Battle,Saints,"$678,000",54,8
254,Maurice Rioli,Tigers,"$412,000",54,13.1
254,Jack Viney,Demons,"$719,000",54,7.5
261,Zach Tuohy,Cats,"$516,000",53,10.3
261,Jacob Bauer,Tigers,"$267,000",53,19.9
261,Jack Williams,Eagles,"$431,000",53,12.3
261,Mabior Chol,Hawks,"$526,000",53,10.1
261,Jaspa Fletcher,Lions,"$520,000",53,10.2
261,Aliir Aliir,Power,"$534,000",53,9.9
261,Brennan Cox,Dockers,"$479,000",53,11.1
268,Cameron Zurhaar,Kangaroos,"$586,000",52,8.9
268,Mitchell Hinge,Crows,"$652,000",52,8
268,Aaron Naughton,Bulldogs,"$474,000",52,11
268,Nathan Broad,Tigers,"$610,000",52,8.5
272,Mac Andrew,Suns,"$507,000",51,10.1
272,Jack Gunston,Hawks,"$517,000",51,9.9
272,Will Hoskin-Elliott,Magpies,"$488,000",51,10.5
272,Lachlan Schultz,Magpies,"$523,000",51,9.8
272,Kane Farrell,Power,"$669,000",51,7.6
277,Max Michalanney,Crows,"$575,000",50,8.7
277,Alex Davies,Suns,"$556,000",50,9
277,Mitchell Duncan,Cats,"$595,000",50,8.4
277,Caiden Cleary,Swans,"$221,000",50,22.6
277,Liam Reidy,Dockers,"$254,000",50,19.7
277,Isaac Quaynor,Magpies,"$457,000",50,10.9
277,Josh Worrell,Crows,"$572,000",50,8.7
277,Sam Sturt,Dockers,"$426,000",50,11.7
285,Daniel Curtin,Crows,"$277,000",49,17.7
285,Jack Carroll,Blues,"$329,000",49,14.9
285,Lewis Melican,Swans,"$327,000",49,15
285,Will Hayward,Swans,"$535,000",49,9.2
285,Mitchito Owens,Saints,"$523,000",49,9.4
285,Bailey Scott,Kangaroos,"$714,000",49,6.9
285,Joel Amartey,Swans,"$433,000",49,11.3
285,Lachlan Murphy,Crows,"$480,000",49,10.2
293,Liam Shiels,Kangaroos,"$416,000",48,11.5
293,Matt Owies,Blues,"$431,000",48,11.1
293,Brandon Walker,Dockers,"$489,000",48,9.8
293,Conor Nash,Hawks,"$624,000",48,7.7
293,Karl Amon,Hawks,"$750,000",48,6.4
293,Noah Balta,Tigers,"$449,000",48,10.7
299,Harrison Jones,Bombers,"$491,000",47,9.6
299,Nate Caddy,Bombers,"$450,000",47,10.4
299,Charlie Ballard,Suns,"$382,000",47,12.3
302,Seth Campbell,Tigers,"$399,000",46,11.5
302,Lachlan Jones,Power,"$379,000",46,12.1
304,Willie Rioli,Power,"$472,000",45,9.5
304,Stephen Coniglio,Giants,"$608,000",45,7.4
304,Campbell Chesser,Eagles,"$350,000",45,12.9
304,Dylan Stephens,Kangaroos,"$425,000",45,10.6
304,Nick Haynes,Giants,"$631,000",45,7.1
304,Daniel Turner,Demons,"$346,000",45,13
304,Darcy Fogarty,Crows,"$469,000",45,9.6
311,Blake Hardwick,Hawks,"$594,000",44,7.4
311,Hugo Ralphsmith,Tigers,"$417,000",44,10.6
